# NTC's Super Mini English Dictionary — 1000+ Word Expansion
# Format: word | definition

finally | after a long time, typically involving difficulty or delay
finance | the management of large amounts of money, especially by governments
financial | relating to finance
find | to discover or perceive by chance or unexpectedly
fine | of high quality
finger | each of the four slender jointed parts attached to either hand
finish | to bring a task or activity to an end; complete
fire | a process in which substances combine chemically with oxygen
firm | having a solid, almost unyielding surface or structure
first | coming before all others in time or order
fish | a limbless cold-blooded vertebrate animal with gills and fins
fishing | the activity of catching fish
fit | of a suitable quality, standard, or type to meet the required purpose
five | equivalent to the sum of two and three
fix | to fasten something securely in a particular place or position
flag | a piece of cloth or similar material, typically oblong or square
flame | a hot glowing body of ignited gas that is generated by something on fire
flash | a sudden brief burst of bright light or a sudden glint from a reflective surface
flat | having a level surface; without raised areas or indentations
flavor | the distinctive taste of a food or drink
flesh | the soft substance consisting of muscle and fat
flight | the action or process of flying through the air
float | to rest or move on or near the surface of a liquid without sinking
flood | an overflow of a large amount of water beyond its normal limits
floor | the lower surface of a room, on which one may walk
flour | a powder obtained by grinding grain, typically wheat
flow | to move along or out steadily and continuously in a current or stream
flower | the seed-bearing part of a plant, consisting of reproductive organs
fly | to move through the air using wings
focus | the center of interest or activity
fold | to bend something over on itself so that one part covers another
folk | people in general
follow | to go or come after a person or thing proceeding ahead
food | any nutritious substance that people or animals eat or drink
fool | a person who acts unwisely or imprudently
foot | the end part of a person's arm beyond the wrist
football | a form of team game played with an oval ball on a field
for | in support of or in favor of
force | strength or energy as an attribute of physical action or movement
foreign | of, from, in, or characteristic of a country or language other than one's own
forest | a large area covered chiefly with trees and undergrowth
forever | for all future time; for always
forget | to fail to remember
forgive | to stop feeling angry or resentful toward someone for an offense
fork | an implement with two or more prongs used for lifting food
form | the visible shape or configuration of something
formal | done in accordance with rules of convention or etiquette
formation | the action of forming or process of being formed
former | having previously been a particular thing
formula | a mathematical relationship or rule expressed in symbols
fortune | chance or luck as an arbitrary force affecting human affairs
forward | in the direction that one is facing or traveling
found | to establish or originate something
foundation | the lowest load-bearing part of a building, typically below ground level
four | equivalent to the product of two and two
fourteen | equivalent to the product of seven and two
fourth | constituting number four in a sequence
fox | a carnivorous mammal with a pointed muzzle and bushy tail
frame | a rigid structure that surrounds something such as a picture or door
free | able to act or be done as one wishes; not under the control of another
freedom | the power or right to act, speak, or think as one wants
freeze | to become hardened into ice or a solid body through loss of heat
frequency | the rate at which something occurs over a particular period of time
frequent | occurring or done many times at short intervals
fresh | newly made or obtained; not canned, frozen, or otherwise preserved
friday | the day of the week before Saturday and following Thursday
friend | a person whom one knows and with whom one has a bond of mutual affection
friendly | kind and pleasant
friendship | the emotions or conduct of friends
frighten | to make someone afraid or anxious
from | indicating the point in space at which a journey, motion, or action starts
front | the side or part of an object or building that presents itself to view
fruit | the sweet and fleshy product of a tree or other plant
fuel | material such as coal, gas, or oil that is burned to produce heat or power
full | containing or holding as much or as many as possible
fully | completely or entirely; to the furthest extent
fun | enjoyment, amusement, or lighthearted pleasure
function | an activity or purpose natural to or intended for a person or thing
fund | a sum of money saved or made available for a particular purpose
fundamental | forming a necessary base or core; of central importance
funny | causing laughter or amusement; humorous
fur | the short, fine hair of certain animals
furniture | large movable equipment, such as tables and chairs
further | at, to, or by a greater distance
future | the time or a period of time following the moment of speaking or writing
gain | to obtain or secure something desired or favorable
game | a form of play or sport, especially a competitive one played according to rules
gap | a break or hole in an object or between two objects
garage | a building or indoor area in which to park or keep a motor vehicle
garden | a piece of ground, often near a house, used for growing flowers or vegetables
gas | an airlike fluid substance which expands freely to fill any space available
gate | a hinged barrier used to close an opening in a wall, fence, or hedge
gather | to bring or come together into a group
general | affecting or concerning all or most people or things; widespread
generate | to produce or create
generation | all of the people born and living at about the same time
generous | showing a readiness to give more of something than is strictly necessary
gentle | having or showing a mild, kind, or tender temperament
gentleman | a chivalrous, courteous, or honorable man
geography | the study of the physical features of the earth and its atmosphere
get | to come to have or hold something; receive
giant | an imaginary or mythical being of human form but superhuman size
gift | a thing given willingly to someone without payment; a present
girl | a female child
give | to freely transfer the possession of something to someone
glad | pleased; happy
glass | a hard, brittle substance, typically transparent or translucent
global | relating to the whole world; worldwide
glove | a covering for the hand worn for protection against cold or dirt
go | to move from one place or point to another
goal | the object of a person's ambition or effort; an aim or desired result
god | the creator and ruler of the universe and source of all moral authority
gold | a yellow precious metal, the chemical element of atomic number 79
good | to be desired or approved of
goodbye | used to express good wishes when parting or at the end of a conversation
goods | merchandise or possessions
govern | to conduct the policy, actions, and affairs of a state or organization
government | the governing body of a nation, state, or community
governor | the elected executive head of a state in the US
grab | to grasp or seize suddenly and roughly
grade | a particular level of rank, quality, or proficiency
gradually | in a gradual way; slowly; by degrees
grain | wheat or any other cultivated cereal crop used as food
grand | magnificent and imposing in appearance, size, or style
grandfather | the father of one's father or mother
grandmother | the mother of one's father or mother
grant | to agree to give or allow something requested
grass | vegetation consisting of typically short plants with long narrow leaves
grateful | feeling or showing an appreciation of kindness; thankful
grave | a hole dug in the ground to receive a coffin or dead body
great | of an extent, amount, or intensity considerably above the normal or average
green | of the color between blue and yellow in the spectrum
grey | of a color intermediate between black and white
ground | the solid surface of the earth
group | a number of people or things that are located close together or classed together
grow | to undergo natural development by increasing in size and changing physically
growth | the process of increasing in physical size
guarantee | a formal promise or assurance that certain conditions shall be fulfilled
guard | a person who keeps watch over something or someone
guess | to estimate or suppose something without sufficient information to be sure
guest | a person who is invited to visit someone's home or take part in a function
guide | a person who advises or shows the way to others
guilt | the fact of having committed a specified or implied offense or crime
guilty | culpable of or responsible for a specified wrongdoing
gun | a weapon incorporating a metal tube from which bullets are propelled
guy | a man
habit | a settled or regular tendency or practice, especially one that is hard to give up
hair | any of the fine threadlike strands growing from the skin of humans
half | either of two equal or corresponding parts into which something is or can be divided
hall | the room or space just inside the front entrance of a house
hand | the end part of a person's arm beyond the wrist
handle | to feel or manipulate with the hands
hang | to suspend or be suspended from above with the lower part not attached
happen | to take place; occur
happy | feeling or showing pleasure or contentment
hard | solid, firm, and resistant to pressure; not easily broken
hardly | scarcely; barely
harm | physical injury, especially that which is deliberately inflicted
hat | a shaped covering for the head worn for warmth or as a fashion item
hate | to feel intense or passionate dislike for someone
have | to possess, own, or hold
he | used to refer to a man, boy, or male animal previously mentioned
head | the upper part of the human body, or the front or upper part of the body
health | the state of being free from illness or injury
healthy | in good health
hear | to perceive with the ear the sound made by someone or something
heart | a hollow muscular organ that pumps the blood through the circulatory system
heat | the quality of being hot; high temperature
heaven | a place regarded in various religions as the abode of God and the angels
heavy | of great weight; difficult to lift or move
height | the measurement of someone or something from head to foot or from base to top
hell | a place regarded in various religions as a spiritual realm of evil and suffering
hello | used as a greeting or to begin a telephone conversation
help | to make it easier or possible for someone to do something
helpful | giving or ready to give help
her | used as the object of a verb or preposition to refer to a female person
here | in, at, or to this place or position
hero | a person who is admired for their courage, outstanding achievements, or noble qualities
herself | used as the object of a verb or preposition to refer to a female person previously mentioned
hide | to put or keep out of sight; conceal from view
high | of great vertical extent
hill | a naturally raised area of land, not as high or craggy as a mountain
him | used as the object of a verb or preposition to refer to a male person
himself | used as the object of a verb or preposition to refer to a male person previously mentioned
hire | to employ someone for wages
his | belonging to or associated with a male person or animal previously mentioned
historical | of or concerning history; concerning past events
history | the study of past events, particularly in human affairs
hit | to bring one's hand or a tool or weapon into contact with someone or something swiftly
hold | to grasp, carry, or support with one's arms or hands
hole | a hollow place in a solid body or surface
holiday | a day of festivity or recreation when no work is done
home | the place where one lives permanently, especially as a member of a family
homework | schoolwork that a student is required to do at home
honest | free of deceit and untruthfulness; sincere
honor | high respect; great esteem
hope | a feeling of expectation and desire for a certain thing to happen
horizon | the line at which the earth's surface and the sky appear to meet
horse | a solid-hoofed plant-eating domesticated mammal with a flowing mane and tail
hospital | an institution providing medical and surgical treatment to the sick or injured
host | a person who receives or entertains other people as guests
hot | having a high degree of heat or a high temperature
hotel | an establishment providing accommodations, meals, and other services for travelers
hour | a period of time equal to a twenty-fourth part of a day and night
house | a building for human habitation, especially one that is lived in by a family
household | a house and its occupants regarded as a unit
housing | houses and apartments considered collectively
how | in what way or manner; by what means
however | used to introduce a statement that contrasts with or seems to contradict something
huge | extremely large; enormous
human | relating to or characteristic of people or human beings
humor | the quality of being amusing or comic, especially as expressed in literature or speech
hundred | the number equivalent to the product of ten and ten
hunger | a feeling of discomfort or weakness caused by lack of food, coupled with the desire to eat
hunt | to pursue and kill a wild animal for sport or food
hurry | to move or act with haste; rush
hurt | to cause physical pain or injury to
husband | a married man considered in relation to his spouse
hut | a small, simple, single-story house or shelter
ice | frozen water, a brittle, transparent crystalline solid
idea | a thought or suggestion as to a possible course of action
ideal | satisfying one's conception of what is perfect; most suitable
identify | to establish or indicate who or what someone or something is
identity | the fact of being who or what a person or thing is
if | introducing a conditional clause
ignore | to refuse to take notice of or acknowledge
ill | suffering from an illness or disease or feeling unwell
illegal | contrary to or forbidden by law, especially criminal law
illness | a disease or period of sickness affecting the body or mind
illustrate | to provide a book, newspaper, etc. with pictures
image | a representation of the external form of a person or thing in art
imagination | the faculty or action of forming new ideas or images or concepts
imagine | to form a mental image or concept of
immediate | occurring or done at once; instant
immediately | at once; instantly
import | to bring goods or services into a country from abroad for sale
important | of great significance or value; likely to have a profound effect on success
impress | to make someone feel admiration and respect
impression | an idea, feeling, or opinion about something or someone
improve | to make or become better; to enhance in value or quality
improvement | an example of improving or being improved
in | expressing the situation of something that is or appears to be enclosed
inch | a unit of linear measure equal to one twelfth of a foot
incident | an event or occurrence
include | to comprise or contain as part of a whole
income | money received, especially on a regular basis, for work or through investments
increase | to become or make greater in size, amount, or degree
increasingly | to an increasing extent; more and more
indeed | without any question; truly
independent | free from outside control; not depending on another's authority
index | an alphabetical list of names, subjects, etc. with references to the places where they occur
indicate | to point out; to show
individual | single; separate
indoor | situated, conducted, or used within a building or under cover
industry | economic activity concerned with the processing of raw materials and manufacture
influence | the capacity to have an effect on the character, development, or behavior of someone
inform | to give facts or information to someone
information | facts provided or learned about something or someone
initial | existing or occurring at the beginning
injury | physical harm or damage to someone's body caused by an accident or attack
ink | a colored fluid used for writing, drawing, printing, or duplicating
inner | situated inside or further inside; internal
innocent | not guilty of a crime or offense
inquiry | an act of asking for information
insect | a small arthropod animal that has six legs and generally one or two pairs of wings
insert | to place, fit, or thrust something into another thing
inside | situated within the confines of something
insist | to demand something forcefully, not accepting refusal
inspect | to look at someone or something closely, typically to assess their condition
instance | an example or single occurrence of something
instant | happening immediately
instead | as an alternative or substitute
institute | an organization having a particular purpose, especially one that is involved with science
institution | an organization founded for a religious, educational, social, or similar purpose
instruction | detailed information telling how something should be done, operated, or assembled
instrument | a tool or implement, especially one for delicate or scientific work
insurance | a practice or arrangement by which a company or government agency provides a guarantee
intelligence | the ability to acquire and apply knowledge and skills
intelligent | having or showing intelligence, especially of a high level
intend | to have a course of action as one's purpose or objective
intention | a thing intended; an aim or plan
interest | the feeling of wanting to know or learn about something or someone
interesting | arousing curiosity or interest; holding or catching the attention
interior | situated in or directed toward the inside
internal | of or situated on the inside
international | existing, occurring, or carried on between two or more nations
internet | a global computer network providing a variety of information and communication facilities
interpret | to explain the meaning of information or actions
interrupt | to stop the continuous progress of an activity or process
interview | a meeting of people face to face, especially for consultation
into | expressing movement or action with the result that someone or something becomes enclosed
introduce | to bring something into use or operation for the first time
introduction | the action of introducing something
invent | to create or design something that has not existed before
invention | the action of inventing something, typically a process or device
invest | to expend money with the expectation of achieving a profit or material result
investigate | to carry out a systematic or formal inquiry to discover and examine the facts
investment | the action or process of investing money for profit
invitation | a written or verbal request inviting someone to go somewhere or do something
invite | to make a polite, formal, or friendly request to someone to go somewhere or do something
involve | to have or include something as a necessary or integral part or result
iron | a strong, hard magnetic silvery-gray metal
is | third person singular present of be
island | a piece of land surrounded by water
isolate | to cause a person or place to be or remain alone or apart from others
issue | an important topic or problem for debate or discussion
it | used to refer to a thing previously mentioned or easily identified
item | an individual article or unit, especially one that is part of a list or collection
its | belonging to or associated with a thing previously mentioned or easily identified
itself | used as the object of a verb or preposition to refer to a thing previously mentioned
jacket | a short coat, typically extending to the hips
jail | a place for the confinement of people accused or convicted of a crime
jam | to squeeze or pack tightly into a specified space
january | the first month of the year, in the northern hemisphere
jealous | feeling or showing envy of someone or their achievements and advantages
job | a paid position of regular employment
join | to link or connect
joint | a point at which parts of an artificial structure are joined
joke | a thing that someone says to cause amusement or laughter
journal | a newspaper or magazine that deals with a particular subject or professional activity
journey | an act of traveling from one place to another
joy | a feeling of great pleasure and happiness
judge | a public official appointed to decide cases in a court of law
judgment | the ability to make considered decisions or come to sensible conclusions
juice | the liquid obtained from or present in fruit or vegetables
july | the seventh month of the year, in the northern hemisphere
jump | to push oneself off a surface and into the air by using the muscles in one's legs
june | the sixth month of the year, in the northern hemisphere
jury | a body of people sworn to give a verdict in a legal case on the basis of evidence submitted
just | based on or behaving according to what is morally right and fair
justice | just behavior or treatment
justify | to show or prove to be right or reasonable
keen | having or showing eagerness or enthusiasm
keep | to have or retain possession of
key | a small piece of shaped metal with incisions cut to fit the wards of a particular lock
kick | to strike or propel forcibly with the foot
kid | a child or young person
kill | to cause the death of a living organism
kind | a group of people or things having similar characteristics
king | the male ruler of an independent state, especially one who inherits the position
kingdom | a country, state, or territory ruled by a king or queen
kiss | to touch with the lips as a sign of love, sexual desire, or greeting
kitchen | a room or area where food is prepared and cooked
knee | the joint between the thigh and the lower leg in humans
knife | an instrument composed of a blade fixed into a handle, used for cutting
knock | to strike a surface noisily to attract attention
know | to be aware of through observation, inquiry, or information
knowledge | facts, information, and skills acquired through experience or education
lab | a laboratory
labor | work, especially hard physical work
lack | the state of being without or not having enough of something
ladder | a set of steps with two parallel supports and horizontal rungs
lady | a woman
lake | a large body of water surrounded by land
lamp | a device for giving light, either one consisting of an electric bulb
land | the part of the earth's surface that is not covered by water
language | the method of human communication, either spoken or written
large | big; extensive in size or amount
last | coming after all others in time or order
late | doing something or taking place after the expected, proper, or usual time
lately | recently; not long ago
later | at a time in the near future; afterward
latest | most recent; current
laugh | to make the spontaneous sounds and movements of the face and body
law | the system of rules that a particular country or community recognizes
lawyer | a person who practices or studies law; an attorney or a counselor
lay | to put down, especially gently or carefully
lead | to cause a person or animal to go with one by holding them by the hand
leader | the person who leads or commands a group, organization, or country
leadership | the action of leading a group of people or an organization
leading | guidance or leadership, especially in a spiritual context
leaf | a flattened structure of a higher plant, typically green and blade-like
league | a collection of people, countries, or groups that combine for mutual protection or cooperation
learn | to gain or acquire knowledge of or skill in something by study, experience, or being taught
least | smallest in amount, extent, or significance
leave | to go away from
lecture | an educational talk to an audience, especially to students in a university
left | on, toward, or relating to the side of a human body or of a thing that is to the west
leg | each of the limbs on which a person or animal walks and stands
legal | permitted by law
legend | a traditional story sometimes popularly regarded as historical but unauthenticated
legislation | laws or the act of making or enacting laws
lemon | a yellow, oval citrus fruit with thick skin and fragrant, acidic juice
lend | to give something to someone for a short time, expecting it to be given back
length | the measurement or extent of something from end to end
less | a smaller amount of; not as much
lesson | an amount of teaching given at one time; a period of learning or teaching
let | to not prevent or forbid; allow
letter | a written, typed, or printed communication, sent in an envelope by mail
level | a horizontal plane or line with respect to the distance above or below a given point
library | a building or room containing collections of books, periodicals, and sometimes films
license | a permit from an authority to own or use something, do a particular thing, or carry on a trade
lie | to be in or assume a horizontal or resting position on a supporting surface
life | the condition that distinguishes animals and plants from inorganic matter
lift | to raise to a higher position or level
light | the natural agent that stimulates sight and makes things visible
like | having the same characteristics or qualities as; similar to
likely | such as well might happen or be true; probable
limit | a point or level beyond which something does not or may not extend or pass
line | a long, narrow mark or band
link | a relationship between two things or situations, especially where one affects the other
lion | a large, heavy, carnivorous, tawny-colored and white-muscled cat
lip | either of the two fleshy parts that form the upper and lower edges of the opening of the mouth
liquid | a substance that flows freely but is of constant volume, having a consistency like that of water or oil
list | a number of connected items or names written or printed consecutively
listen | to give one's attention to a sound
literature | written works, especially those considered of superior or lasting artistic merit
little | small in size, amount, or degree
live | to remain alive
living | an income sufficient to live on or the means of earning it
load | a heavy or bulky thing that is being carried or is about to be carried
local | belonging to or relating to a particular area or neighborhood
location | a particular place or position
lock | a mechanism for keeping a door, lid, etc., fastened
lonely | sad because one has no friends or company
long | measuring a great distance from end to end
look | to direct one's gaze toward someone or something or in a specified direction
loose | not firmly or tightly fixed in place; detached or able to be detached
lose | to be deprived of or cease to have or retain something
loss | the fact or process of losing something or someone
lot | a particular group, collection, or set of people or things
loud | producing or capable of producing much noise; easily audible
love | an intense feeling of deep affection
lovely | exquisitely beautiful
low | of less than average height from top to bottom or to the top from the ground
luck | success or failure apparently brought by chance rather than through one's own actions
lucky | having, bringing, or resulting from good luck
lunch | a meal eaten in the middle of the day, typically one that is lighter or less formal than dinner
machine | an apparatus using mechanical power and having several parts, each with a definite function
machinery | machines or machine systems collectively
mad | mentally ill; insane
magazine | a periodical publication containing articles and illustrations
magic | the power of apparently influencing the course of events by using mysterious forces
mail | letters and packages conveyed by the postal system
main | chief in size or importance
maintain | to cause or enable a condition or state of affairs to continue
major | important, serious, or significant
majority | the greater number
make | to form something by putting parts together or combining substances
male | of or denoting the sex that produces small, typically motile gametes, especially spermatozoa
man | an adult human male
manage | to be in charge of a business, organization, or undertaking
management | the process of dealing with or controlling things or people
manager | a person responsible for controlling or administering an organization or group of staff
manner | a way in which a thing is done or happens
manufacture | to make something on a large scale using machinery
many | a large number of
map | a diagrammatic representation of an area of land or sea showing physical features
march | to walk in a military manner with a regular measured tread
margin | an edge or border
mark | a small area on a surface having a different color from its surroundings
market | a regular gathering of people for the purchase and sale of provisions, livestock, and other commodities
marriage | the legally or formally recognized union of two people as partners in a personal relationship
married | joined in marriage
marry | to join in marriage
mass | a large body of matter with no definite shape
master | a man who has people working for him, especially servants or slaves
match | a contest in which people or teams compete against each other in a particular sport
material | the matter from which a thing is or can be made
mathematics | the abstract science of number, quantity, and space
matter | physical substance in general, as distinct from mind and spirit; that which occupies space
maximum | as great, high, or intense as possible or permitted
may | expressing possibility
maybe | perhaps; possibly
mayor | the elected head of a city, town, or other municipality
me | used by a speaker to refer to himself or herself as the object of a verb or preposition
meal | any of the occasions in a day when a reasonably large amount of food is eaten
mean | to intend to convey, indicate, or refer to a particular thing or person
meaning | what is meant by a word, text, concept, or action
means | an action or system by which a result is achieved; a method
measure | to ascertain the size, amount, or degree of something by using an instrument
measurement | the action of measuring something
meat | the flesh of an animal, typically a mammal or bird, as food
mechanic | a skilled worker who repairs and maintains machinery
mechanical | operated by a machine or machinery
mechanism | a system of parts working together in a machine as a way of producing motion
medal | a metal disk with an inscription or design, made to commemorate an event or awarded as a distinction
medical | relating to the science or practice of medicine
medicine | the science or practice of the diagnosis, treatment, and prevention of disease
medium | an agency or means of doing something
meet | to come into the presence or company of someone by chance or arrangement
meeting | an assembly of people for a particular purpose, especially for formal discussion
member | a person, animal, or plant belonging to a particular group
membership | the fact of being a member of a group
memory | the faculty by which the mind stores and remembers information
mental | relating to the mind
mention | to refer to something briefly and without going into detail
menu | a list of dishes available in a restaurant
message | a verbal, written, or recorded communication sent to or left for a recipient
metal | a solid material that is typically hard, shiny, malleable, fusible, and ductile, with good electrical and thermal conductivity
method | a particular form of procedure for accomplishing or approaching something, especially a systematic or established one
meter | a device that measures and records the quantity, degree, or rate of something
middle | at an equal distance from the extremities of something; central
midnight | twelve o'clock at night
might | past of may, used especially in reported speech
mile | a unit of linear measure equal to 1,760 yards
military | relating to or characteristic of soldiers or armed forces
milk | an opaque white fluid rich in fat and protein, secreted by female mammals for the nourishment of their young
mill | a building equipped with machinery for grinding grain into flour
million | the number equivalent to the product of a thousand and a thousand
mind | the element of a person that enables them to be aware of the world and their experiences
mine | used to refer to a thing or things belonging to or associated with the speaker
mineral | a solid inorganic substance of natural occurrence
minimum | the least or smallest amount or quantity possible, attainable, or required
minister | a member of the clergy, especially in Protestant churches
minor | lesser in importance, seriousness, or significance
minority | the smaller number or part, especially a number that is less than half the whole number
minute | a period of time equal to sixty seconds or a sixtieth of an hour
miss | to fail to hit, reach, or come into contact with something aimed at
mission | an important assignment carried out for political, religious, or commercial purposes, typically involving travel
mistake | an action or judgment that is misguided or wrong
mix | to combine or put together to form one substance or mass
mixture | a substance made by mixing other substances together
mobile | able to move or be moved freely or easily
model | a three-dimensional representation of a person or thing or of a proposed structure
moderate | average in amount, intensity, quality, or degree
modern | relating to the present or recent times as opposed to the remote past
moment | a very brief period of time
money | a current medium of exchange in the form of coins and banknotes
monitor | a device used for observing, checking, or keeping a continuous record of something
month | each of the twelve named periods into which a year is divided
mood | a temporary state of mind or feeling
moon | the natural satellite of the earth, visible chiefly at night
moral | concerned with the principles of right and wrong behavior and the goodness or badness of human character
more | a greater or additional amount or degree of
moreover | as a further matter; besides
morning | the period of time from sunrise to noon
most | greatest in amount, quantity, or degree
mostly | as regards the greater part or number; mainly
mother | a woman in relation to her child or children
motion | the action or process of moving or being moved
motor | a machine, especially one powered by electricity or internal combustion, that supplies motive power for a vehicle or for some other device with moving parts
mountain | a large natural elevation of the earth's surface rising abruptly from the surrounding level
mouse | a small rodent that typically has a pointed snout, relatively large ears and eyes, and a long tail
mouth | the opening in the lower part of the human face, surrounded by the lips, through which food is taken in and vocal sounds are emitted
move | to move in a specified direction or manner; change position
movement | an act of moving
movie | a story or event recorded by a camera as a set of moving images and shown in a theater or on television
much | a great amount or quantity of
mud | soft, sticky matter resulting from the mixing of earth and water
multiple | having or involving several parts, elements, or members
murder | the unlawful premeditated killing of one human being by another
muscle | a band or bundle of fibrous tissue in a human or animal body that has the ability to contract
museum | a building in which objects of historical, scientific, artistic, or cultural interest are stored and exhibited
music | vocal or instrumental sounds combined in such a way as to produce beauty of form, harmony, and expression of emotion
musical | relating to music
musician | a person who plays a musical instrument or is musically talented
must | be obliged to; should
mutual | experienced or done by each of two or more parties toward the other or others
my | belonging to or associated with the speaker
myself | used by a speaker to refer to himself or herself as the object of a verb or preposition when he or she is also the subject
mystery | something that is difficult or impossible to understand or explain
myth | a traditional story, especially one concerning the early history of a people or explaining a natural or social phenomenon, and typically involving supernatural beings or events
nail | a small metal spike with a broadened flat head, driven typically into wood with a hammer to join things together or to serve as a peg or hook
name | a word or set of words by which a person, animal, place, or thing is known, addressed, or referred to
narrow | of small width in relation to length
nation | a large body of people united by common descent, history, culture, or language, inhabiting a particular country or territory
national | of or relating to a nation; common to or characteristic of a whole nation
native | a person born in a specified place or associated with a place by birth
natural | existing in or caused by nature; not made or caused by humankind
nature | the phenomena of the physical world collectively, including plants, animals, the landscape, and other features and products of the earth, as opposed to humans or human creations
naval | of or relating to a navy or navies
navigation | the process or activity of accurately ascertaining one's position and planning and following a route
near | at or to a short distance away; close by
nearby | close at hand; not far away
nearly | very close to; almost
necessary | required to be done, achieved, or present; needed; essential
neck | the part of a person's or animal's body connecting the head to the rest of the body
need | require something because it is essential or very important
needle | a very fine slender piece of polished metal with a point at one end and a hole or eye for thread at the other, used in sewing
negative | consisting in or characterized by the absence rather than the presence of distinguishing features
negotiate | to try to reach an agreement or compromise by discussion with others
neighbor | a person who lives near another
neither | not the one nor the other of two people or things
nervous | easily agitated or alarmed; tending to be anxious; highly strung
net | a piece of open-meshed material made of twine, cord, or something similar, used typically for catching fish or other animals
network | an arrangement of intersecting horizontal and vertical lines
never | at no time in the past or future; not ever
nevertheless | in spite of that; notwithstanding; all the same
new | not existing before; made, introduced, or discovered recently or now for the first time
news | newly received or noteworthy information, especially about recent or important events
newspaper | a printed publication appearing at regular intervals, usually daily or weekly, consisting of folded unstapled sheets and containing news, feature articles, advertisements, and correspondence
next | coming immediately after the present one in time, space, order, or sequence
nice | pleasant; agreeable; satisfactory
night | the period of darkness in each twenty-four hours; the time from sunset to sunrise
nine | equivalent to the product of three and three; one more than eight, or four less than thirteen; 9
nineteen | one more than eighteen; 19
ninety | ten less than one hundred; 90
no | not any; not one; not a
nobody | no person; not anyone
nod | to lower and raise one's head slightly and briefly, especially in greeting, assent, or understanding, or to give someone a signal
noise | a sound, especially one that is loud or unpleasant or that causes disturbance
none | not any
nor | used before the second or further of two or more alternatives to indicate that they are each untrue or each do not happen
normal | conforming to a standard; usual, typical, or expected
north | the direction in which a compass needle normally points, toward the horizon on the left-hand side of a person facing east, or the part of the horizon lying in this direction
northern | situated in the north, or directed toward or facing the north
nose | the part projecting above the mouth on the face of a person or animal, containing the nostrils and used for breathing and smelling
not | used with an auxiliary or modal verb to form a negative
note | a brief record of facts, topics, or thoughts, written down as an aid to memory
nothing | not anything; no single thing
notice | the fact of observing or paying attention to something
novel | a fictitious prose narrative of book length, typically representing character and action with some degree of realism
now | at the present time or moment
nowhere | not in or to any place; not anywhere
nuclear | relating to or constituting the nucleus of an atom
number | an arithmetical value, expressed by a word, symbol, or figure, representing a particular quantity and used in counting and making calculations
numerous | great in number; many
nurse | a person trained to care for the sick or infirm, especially in a hospital
nut | a fruit consisting of a hard or tough shell around an edible kernel
object | a material thing that can be seen and touched
objection | an expression or feeling of disapproval or opposition; a reason for disagreeing
objective | a thing aimed at or sought; a goal
obligation | an act or course of action to which a person is morally or legally bound; a duty or commitment
observe | to notice or perceive something and register it as being significant
obtain | to get, acquire, or secure something
obvious | easily perceived or understood; clear, self-evident, or apparent
occasion | a particular event, or the time at which it takes place
occasionally | at infrequent or irregular intervals; now and then
occupy | to reside or have one's place of business in a building
occur | to happen; take place
ocean | a very large expanse of sea, in particular, each of the main areas into which the sea is divided geographically
october | the tenth month of the year, in the northern hemisphere usually considered the second month of autumn
odd | different from what is usual or expected; strange
of | expressing the relationship between a part and a whole
off | away from the place in question; to or at a distance
offense | a breach of a law or rule; an illegal act
offer | to present or proffer something for someone to accept or reject as desired
office | a room, set of rooms, or building used as a place for commercial, professional, or bureaucratic work
officer | a person holding a position of authority, especially in the armed forces, police, or merchant navy
official | relating to an authority or public body and its duties, actions, and responsibilities
often | frequently; many times
oil | a viscous liquid derived from petroleum, especially for use as a fuel or lubricant
okay | used to express assent, agreement, or acceptance
old | having lived for a long time; no longer young
on | physically in contact with and supported by a surface
once | on one occasion or for one time only
one | the lowest cardinal number; half of two; 1
only | and no one or nothing more besides; solely
onto | moving to a location on the surface of
open | allowing access, passage, or a view through an empty space; not closed or blocked
operate | to control the functioning of a machine, process, or system
operation | the fact or condition of functioning or being active
operator | a person who operates equipment or a machine
opinion | a view or judgment formed about something, not necessarily based on fact or knowledge
opponent | someone who competes with or opposes another in a contest, game, or argument
opportunity | a set of circumstances that makes it possible to do something
oppose | to disapprove of and attempt to prevent, especially by argument
opposite | having a position on the other or further side of something; facing
optimistic | hopeful and confident about the future
option | a thing that is or may be chosen
or | used to link alternatives
orange | a round juicy citrus fruit with a tough bright reddish-yellow rind
order | the arrangement or disposition of people or things in relation to each other according to a particular sequence, pattern, or method
ordinary | with no special or distinctive features; normal
organization | an organized body of people with a particular purpose, especially a business, society, association, etc.
organize | to arrange or form into a coherent unit or functional whole
origin | the point or place where something begins, arises, or is derived
original | present or existing from the beginning; first or earliest
other | used to refer to a person or thing that is different or distinct from one already mentioned or known about
otherwise | in circumstances different from those present or considered; or else
ought | used to indicate duty or correctness, typically when criticizing someone's actions
ounce | a unit of weight of one sixteenth of a pound avoirdupois (approximately 28 grams)
our | belonging to or associated with the speaker and one or more other people previously mentioned or easily identified
ours | used to refer to a thing or things belonging to or associated with the speaker and one or more other people previously mentioned
ourselves | used as the object of a verb or preposition when this is the same as the subject of the clause and the subject is the speaker and one or more other people previously mentioned
out | moving or appearing to move away from a particular place, especially one that is enclosed or hidden
outcome | the way a thing turns out; a consequence
outdoor | done, situated, or used out of doors
outside | the external side or surface of something
outstanding | exceptionally good
over | extending directly upward from
overall | taking everything into account
